"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify registered user has default role of 'user'","114","testRegistrationDefaultRole","API Test Suite","Tue Apr 07 07:12:16 UTC 2026","passed","Tue Apr 07 07:12:16 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationDefaultRole"
"","14","returns HTTP 400 when password is missing","","Tue Apr 07 07:12:00 UTC 2026","passed","Tue Apr 07 07:12:00 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","4","test_register_duplicate_email_returns_409","tests","Tue Apr 07 07:12:17 UTC 2026","passed","Tue Apr 07 07:12:17 UTC 2026","TestRegistration","auth_test","",""
"","83","response contains token","","Tue Apr 07 07:11:59 UTC 2026","passed","Tue Apr 07 07:11:59 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","3","test_list_users_without_auth_returns_401","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestListUsers","user_test","",""
"","3","test_list_users_invalid_page_returns_400","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestListUsers","user_test","",""
"Invalid email format shows validation error — AUT Bug B","11400","invalidEmailFormatShowsValidationError","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:14:30 UTC 2026","failed","Tue Apr 07 07:14:41 UTC 2026","com.sqa.ui.tests.RegisterTest","UI Tests","com.sqa.ui.tests.RegisterTest","invalidEmailFormatShowsValidationError"
"","324","admin can update order status and receives HTTP 200","","Tue Apr 07 07:12:06 UTC 2026","passed","Tue Apr 07 07:12:07 UTC 2026","Order Endpoints > PATCH /api/orders/:id/status","orders_test.spec.ts","",""
"","332","Sign in link is visible","chromium","Tue Apr 07 07:12:39 UTC 2026","passed","Tue Apr 07 07:12:39 UTC 2026","Navbar — Unauthenticated","navbar_test.spec.ts","",""
"","862","Admin can place order successfully","chromium","Tue Apr 07 07:13:12 UTC 2026","passed","Tue Apr 07 07:13:13 UTC 2026","Product Detail — Authenticated Admin","product_detail_test.spec.ts","",""
"Verify user can update multiple fields simultaneously","77","testUpdateMultipleFields","API Test Suite","Tue Apr 07 07:12:19 UTC 2026","passed","Tue Apr 07 07:12:19 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testUpdateMultipleFields"
"Create two products and order both.","18","test_create_order_with_multiple_items","tests","Tue Apr 07 07:12:19 UTC 2026","passed","Tue Apr 07 07:12:19 UTC 2026","TestCreateOrder","orders_test","",""
"","76","returns HTTP 200 for authenticated user","","Tue Apr 07 07:12:03 UTC 2026","passed","Tue Apr 07 07:12:03 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"","71","returns HTTP 403 for non-admin authenticated user","","Tue Apr 07 07:12:13 UTC 2026","passed","Tue Apr 07 07:12:13 UTC 2026","Product Endpoints > POST /api/products","products_test.spec.ts","",""
"","12","page navigation does not return overlapping results","","Tue Apr 07 07:12:10 UTC 2026","passed","Tue Apr 07 07:12:10 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"Verify user can list their own orders","27","testListUserOrders","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListUserOrders"
"","260","returns HTTP 401 without token","","Tue Apr 07 07:12:16 UTC 2026","passed","Tue Apr 07 07:12:16 UTC 2026","Product Endpoints > DELETE /api/products/:id","products_test.spec.ts","",""
"Verify user can soft delete their own account","117","testDeleteOwnUser","API Test Suite","Tue Apr 07 07:12:18 UTC 2026","passed","Tue Apr 07 07:12:18 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testDeleteOwnUser"
"","3","test_user_cannot_delete_other_user","tests","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","TestDeleteUser","user_test","",""
"","37976","Step 5: Create order","","Tue Apr 07 07:15:39 UTC 2026","passed","Tue Apr 07 07:16:17 UTC 2026","","k6 Performance Tests","",""
"","6","content-type is application/json","","Tue Apr 07 07:12:01 UTC 2026","passed","Tue Apr 07 07:12:01 UTC 2026","Health Endpoints > GET /","health_test.spec.ts","",""
"","410","Search returns filtered results","chromium","Tue Apr 07 07:13:17 UTC 2026","passed","Tue Apr 07 07:13:18 UTC 2026","Products — Unauthenticated","products_test.spec.ts","",""
"","904","User cancel order dismissed by user leaves order intact","chromium","Tue Apr 07 07:13:09 UTC 2026","passed","Tue Apr 07 07:13:10 UTC 2026","Orders — Authenticated User","orders_test.spec.ts","",""
